ISP_ASN, prefix, {geolocation}
CENTURYLINK_AS209, 209.144.103.0/24, {'209.144.103.50': {'city': 'Marina del Rey', 'state': 'California'}, '209.144.103.150': {'city': 'Marina del Rey', 'state': 'California'}}
CENTURYLINK_AS209, 216.160.156.0/23, {'216.160.156.100': {'city': 'Denver', 'state': 'Colorado'}, '216.160.157.100': {'city': 'Denver', 'state': 'Colorado'}}
CENTURYLINK_AS209, 198.50.4.0/24, {'198.50.4.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.4.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 209.136.254.0/24, {'209.136.254.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.254.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 64.72.32.0/19, {'64.72.32.100': {'city': 'Woodward', 'state': 'Oklahoma'}, '64.72.47.100': {'city': 'White Hall', 'state': 'Arkansas'}, '64.72.62.100': {'city': 'Eastland', 'state': 'Texas'}}
CENTURYLINK_AS209, 198.50.1.0/24, {'198.50.1.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.1.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 216.207.88.0/24, {'216.207.88.50': {'city': None, 'state': None}, '216.207.88.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 205.169.39.0/24, {'205.169.39.50': {'city': 'Hamilton', 'state': 'Ontario'}, '205.169.39.150': {'city': 'Hamilton', 'state': 'Ontario'}}
CENTURYLINK_AS209, 198.50.2.0/24, {'198.50.2.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.2.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 74.5.248.0/24, {'74.5.248.50': {'city': 'North Fort Myers', 'state': 'Florida'}, '74.5.248.150': {'city': 'North Fort Myers', 'state': 'Florida'}}
CENTURYLINK_AS209, 68.233.52.0/24, {'68.233.52.50': {'city': None, 'state': None}, '68.233.52.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 198.50.7.0/24, {'198.50.7.50': {'city': 'Salt Lake City', 'state': 'Utah'}, '198.50.7.150': {'city': 'Salt Lake City', 'state': 'Utah'}}
CENTURYLINK_AS209, 209.136.252.0/24, {'209.136.252.50': {'city': 'Memphis', 'state': 'Tennessee'}, '209.136.252.150': {'city': 'Memphis', 'state': 'Tennessee'}}
CENTURYLINK_AS209, 75.171.61.0/24, {'75.171.61.50': {'city': 'Eustis', 'state': 'Florida'}, '75.171.61.150': {'city': 'Eustis', 'state': 'Florida'}}
CENTURYLINK_AS209, 68.233.61.0/24, {'68.233.61.50': {'city': None, 'state': None}, '68.233.61.150': {'city': None, 'state': None}}
CENTURYLINK_AS209, 99.195.200.0/22, {'99.195.200.100': {'city': 'Old Monroe', 'state': 'Missouri'}, '99.195.203.100': {'city': 'Cuba', 'state': 'Missouri'}}
