ISP_ASN, prefix, {geolocation}
FRONTIER_AS5650, 66.13.143.0/24, {'66.13.143.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.143.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 47.183.108.0/24, {'47.183.108.50': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.108.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.103.0/24, {'66.12.103.50': {'city': 'Manhattan', 'state': 'New York'}, '66.12.103.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 74.43.216.0/23, {'74.43.216.100': {'city': 'Rochester', 'state': 'New York'}, '74.43.217.100': {'city': 'Rochester', 'state': 'New York'}}
FRONTIER_AS5650, 66.13.175.0/24, {'66.13.175.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.175.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.14.92.0/24, {'66.14.92.50': {'city': 'Manhattan', 'state': 'New York'}, '66.14.92.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 96.226.148.0/24, {'96.226.148.50': {'city': 'San Angelo', 'state': 'Texas'}, '96.226.148.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.73.0/24, {'66.12.73.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.73.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 208.76.188.0/24, {'208.76.188.50': {'city': 'Llano', 'state': 'Texas'}, '208.76.188.150': {'city': 'Llano', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.149.0/24, {'66.14.149.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.149.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.12.242.0/24, {'66.12.242.50': {'city': 'Dallas', 'state': 'Texas'}, '66.12.242.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 172.108.99.0/24, {'172.108.99.50': {'city': 'San Angelo', 'state': 'Texas'}, '172.108.99.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 173.59.164.0/24, {'173.59.164.50': {'city': 'San Angelo', 'state': 'Texas'}, '173.59.164.150': {'city': 'Junction', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.12.0/24, {'66.12.12.50': {'city': 'Manhattan', 'state': 'New York'}, '66.12.12.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 172.108.97.0/24, {'172.108.97.50': {'city': 'San Angelo', 'state': 'Texas'}, '172.108.97.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.82.0/24, {'66.14.82.50': {'city': 'Dallas', 'state': 'Texas'}, '66.14.82.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.223.0/24, {'71.169.223.50': {'city': 'San Angelo', 'state': 'Texas'}, '71.169.223.150': {'city': 'Brady', 'state': 'Texas'}}
FRONTIER_AS5650, 108.37.77.0/24, {'108.37.77.50': {'city': 'Coleman', 'state': 'Texas'}, '108.37.77.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 66.13.243.0/24, {'66.13.243.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.243.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.13.169.0/24, {'66.13.169.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.169.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.13.126.0/24, {'66.13.126.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.13.126.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 108.37.78.0/24, {'108.37.78.50': {'city': 'Manhattan', 'state': 'New York'}, '108.37.78.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 66.14.79.0/24, {'66.14.79.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.79.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 71.116.15.0/24, {'71.116.15.50': {'city': 'Early', 'state': 'Texas'}, '71.116.15.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.223.0/24, {'66.12.223.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.223.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 47.188.224.0/22, {'47.188.224.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.188.227.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.218.0/24, {'66.13.218.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.218.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.14.150.0/24, {'66.14.150.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.150.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 71.116.14.0/24, {'71.116.14.50': {'city': 'Brownwood', 'state': 'Texas'}, '71.116.14.150': {'city': 'Brownwood', 'state': 'Texas'}}
FRONTIER_AS5650, 24.32.72.0/24, {'24.32.72.50': {'city': 'Big Lake', 'state': 'Texas'}, '24.32.72.150': {'city': 'Big Lake', 'state': 'Texas'}}
FRONTIER_AS5650, 71.96.249.0/24, {'71.96.249.50': {'city': 'San Angelo', 'state': 'Texas'}, '71.96.249.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.15.221.0/24, {'66.15.221.50': {'city': 'Broomfield', 'state': 'Colorado'}, '66.15.221.150': {'city': 'Broomfield', 'state': 'Colorado'}}
FRONTIER_AS5650, 66.12.80.0/24, {'66.12.80.50': {'city': 'Los Angeles', 'state': 'California'}, '66.12.80.150': {'city': 'Los Angeles', 'state': 'California'}}
FRONTIER_AS5650, 66.13.38.0/24, {'66.13.38.50': {'city': 'Dallas', 'state': 'Texas'}, '66.13.38.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.14.18.0/24, {'66.14.18.50': {'city': 'Dallas', 'state': 'Texas'}, '66.14.18.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.53.0/24, {'66.12.53.50': {'city': 'Los Angeles', 'state': 'California'}, '66.12.53.150': {'city': 'Los Angeles', 'state': 'California'}}
FRONTIER_AS5650, 66.15.223.0/24, {'66.15.223.50': {'city': 'Broomfield', 'state': 'Colorado'}, '66.15.223.150': {'city': 'Broomfield', 'state': 'Colorado'}}
FRONTIER_AS5650, 71.116.13.0/24, {'71.116.13.50': {'city': 'Brownwood', 'state': 'Texas'}, '71.116.13.150': {'city': 'Brownwood', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.48.0/24, {'66.12.48.50': {'city': 'Los Angeles', 'state': 'California'}, '66.12.48.150': {'city': 'Los Angeles', 'state': 'California'}}
FRONTIER_AS5650, 66.12.145.0/24, {'66.12.145.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.145.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.13.37.0/24, {'66.13.37.50': {'city': 'Atlantic City', 'state': 'New Jersey'}, '66.13.37.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.14.22.0/24, {'66.14.22.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.22.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 24.206.198.0/24, {'24.206.198.50': {'city': 'Big Lake', 'state': 'Texas'}, '24.206.198.150': {'city': 'Mason', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.51.0/24, {'66.13.51.50': {'city': 'Atlantic City', 'state': 'New Jersey'}, '66.13.51.150': {'city': 'Atlantic City', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.12.184.0/24, {'66.12.184.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.184.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.15.173.0/24, {'66.15.173.50': {'city': 'Dallas', 'state': 'Texas'}, '66.15.173.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.15.172.0/24, {'66.15.172.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.15.172.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.13.242.0/24, {'66.13.242.50': {'city': 'North Bergen', 'state': 'New Jersey'}, '66.13.242.150': {'city': 'North Bergen', 'state': 'New Jersey'}}
FRONTIER_AS5650, 66.14.72.0/24, {'66.14.72.50': {'city': 'Dallas', 'state': 'Texas'}, '66.14.72.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.228.0/24, {'66.12.228.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.228.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.14.146.0/24, {'66.14.146.50': {'city': 'Ashburn', 'state': 'Virginia'}, '66.14.146.150': {'city': 'Ashburn', 'state': 'Virginia'}}
FRONTIER_AS5650, 66.14.30.0/24, {'66.14.30.50': {'city': 'Dallas', 'state': 'Texas'}, '66.14.30.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.226.0/24, {'71.169.226.50': {'city': 'Brownwood', 'state': 'Texas'}, '71.169.226.150': {'city': 'Comanche', 'state': 'Texas'}}
FRONTIER_AS5650, 71.169.224.0/24, {'71.169.224.50': {'city': 'Brownwood', 'state': 'Texas'}, '71.169.224.150': {'city': 'Brownwood', 'state': 'Texas'}}
FRONTIER_AS5650, 47.183.160.0/20, {'47.183.160.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.166.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.172.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.183.176.0/20, {'47.183.176.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.182.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.188.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 66.13.247.0/24, {'66.13.247.50': {'city': 'Dallas', 'state': 'Texas'}, '66.13.247.150': {'city': 'Dallas', 'state': 'Texas'}}
FRONTIER_AS5650, 66.12.166.0/24, {'66.12.166.50': {'city': 'Manhattan', 'state': 'New York'}, '66.12.166.150': {'city': 'Manhattan', 'state': 'New York'}}
FRONTIER_AS5650, 66.13.124.0/24, {'66.13.124.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.13.124.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.14.16.0/24, {'66.14.16.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.14.16.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 66.12.130.0/24, {'66.12.130.50': {'city': 'Cambridge', 'state': 'Massachusetts'}, '66.12.130.150': {'city': 'Cambridge', 'state': 'Massachusetts'}}
FRONTIER_AS5650, 172.108.98.0/24, {'172.108.98.50': {'city': 'San Angelo', 'state': 'Texas'}, '172.108.98.150': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.189.188.0/22, {'47.189.188.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.189.191.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.188.160.0/22, {'47.188.160.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.188.163.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 47.183.112.0/22, {'47.183.112.100': {'city': 'San Angelo', 'state': 'Texas'}, '47.183.115.100': {'city': 'San Angelo', 'state': 'Texas'}}
FRONTIER_AS5650, 71.121.127.0/24, {'71.121.127.50': {'city': 'San Angelo', 'state': 'Texas'}, '71.121.127.150': {'city': 'Junction', 'state': 'Texas'}}
