ISP_ASN, prefix, {geolocation}
WINDSTREAM_AS7029, 74.11.88.0/24, {'74.11.88.50': {'city': 'Rochester', 'state': 'New York'}, '74.11.88.150': {'city': 'Rochester', 'state': 'New York'}}
WINDSTREAM_AS7029, 209.252.248.0/24, {'209.252.248.50': {'city': 'Cazenovia', 'state': 'New York'}, '209.252.248.150': {'city': 'Cazenovia', 'state': 'New York'}}
WINDSTREAM_AS7029, 192.177.64.0/21, {'192.177.64.100': {'city': 'Vicksburg', 'state': 'Mississippi'}, '192.177.67.100': {'city': 'Newark', 'state': 'New Jersey'}, '192.177.70.100': {'city': 'Inglewood', 'state': 'California'}}
WINDSTREAM_AS7029, 192.177.104.0/21, {'192.177.104.100': {'city': 'Tacoma', 'state': 'Washington'}, '192.177.107.100': {'city': 'Tacoma', 'state': 'Washington'}, '192.177.110.100': {'city': 'Tacoma', 'state': 'Washington'}}
WINDSTREAM_AS7029, 67.217.136.0/21, {'67.217.136.100': {'city': 'Clifton', 'state': 'New Jersey'}, '67.217.139.100': {'city': 'Newark', 'state': 'New Jersey'}, '67.217.142.100': {'city': None, 'state': None}}
WINDSTREAM_AS7029, 40.142.15.0/24, {'40.142.15.50': {'city': 'Cleveland', 'state': 'Georgia'}, '40.142.15.150': {'city': 'Cleveland', 'state': 'Georgia'}}
WINDSTREAM_AS7029, 209.96.164.0/22, {'209.96.164.100': {'city': 'Winder', 'state': 'Georgia'}, '209.96.167.100': {'city': 'Winder', 'state': 'Georgia'}}
WINDSTREAM_AS7029, 40.142.14.0/24, {'40.142.14.50': {'city': 'Cairo', 'state': 'Georgia'}, '40.142.14.150': {'city': 'Perry', 'state': 'Georgia'}}
WINDSTREAM_AS7029, 104.241.42.0/24, {'104.241.42.50': {'city': 'Dahlonega', 'state': 'Georgia'}, '104.241.42.150': {'city': 'Dahlonega', 'state': 'Georgia'}}
WINDSTREAM_AS7029, 10.100.103.0/30, {}
WINDSTREAM_AS7029, 192.177.80.0/21, {'192.177.80.100': {'city': 'Chicago', 'state': 'Illinois'}, '192.177.83.100': {'city': 'Chicago', 'state': 'Illinois'}, '192.177.86.100': {'city': 'Middletown', 'state': 'New Jersey'}}
WINDSTREAM_AS7029, 192.177.112.0/21, {'192.177.112.100': {'city': 'Queens', 'state': 'New York'}, '192.177.115.100': {'city': 'Queens', 'state': 'New York'}, '192.177.118.100': {'city': 'Birmingham', 'state': 'Michigan'}}
WINDSTREAM_AS7029, 67.217.128.0/21, {'67.217.128.100': {'city': None, 'state': None}, '67.217.131.100': {'city': None, 'state': None}, '67.217.134.100': {'city': 'Chicago', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 63.250.245.0/24, {'63.250.245.50': {'city': 'Elk Grove Village', 'state': 'Illinois'}, '63.250.245.150': {'city': 'Elk Grove Village', 'state': 'Illinois'}}
WINDSTREAM_AS7029, 66.19.77.0/24, {'66.19.77.50': {'city': 'Thomasville', 'state': 'Georgia'}, '66.19.77.150': {'city': 'Huntersville', 'state': 'North Carolina'}}
CONSOLIDATED-COMM_AS14051, 67.58.232.0/22, {'67.58.232.100': {'city': 'Roseville', 'state': 'California'}, '67.58.235.100': {'city': 'Roseville', 'state': 'California'}}
GOOGLE-LLC_AS15169, 35.215.192.0/18, {'35.215.192.100': {'city': 'São Paulo', 'state': 'Sao Paulo'}, '35.215.222.100': {'city': 'São Paulo', 'state': 'Sao Paulo'}, '35.215.252.100': {'city': 'São Paulo', 'state': 'Sao Paulo'}}
GOOGLE-LLC_AS15169, 34.128.0.0/10, {}
GOOGLE-LLC_AS15169, 142.251.6.0/24, {'142.251.6.50': {'city': None, 'state': None}, '142.251.6.150': {'city': None, 'state': None}}
GOOGLE-LLC_AS15169, 35.215.64.0/18, {'35.215.64.100': {'city': 'Los Angeles', 'state': 'California'}, '35.215.94.100': {'city': 'Los Angeles', 'state': 'California'}, '35.215.124.100': {'city': 'Los Angeles', 'state': 'California'}}
GOOGLE-LLC_AS15169, 35.219.128.0/18, {'35.219.128.100': {'city': 'Las Vegas', 'state': 'Nevada'}, '35.219.158.100': {'city': 'Las Vegas', 'state': 'Nevada'}, '35.219.188.100': {'city': 'Las Vegas', 'state': 'Nevada'}}
GOOGLE-LLC_AS15169, 35.213.128.0/18, {'35.213.128.100': {'city': 'Singapore', 'state': None}, '35.213.158.100': {'city': 'Singapore', 'state': None}, '35.213.188.100': {'city': 'Singapore', 'state': None}}
GOOGLE-LLC_AS15169, 35.219.0.0/17, {'35.219.0.100': {'city': 'Jakarta', 'state': 'Jakarta'}, '35.219.60.100': {'city': 'Jakarta', 'state': 'Jakarta'}, '35.219.120.100': {'city': 'Jakarta', 'state': 'Jakarta'}}
GOOGLE-LLC_AS15169, 35.216.0.0/17, {'35.216.0.100': {'city': 'Seoul', 'state': 'Seoul'}, '35.216.60.100': {'city': 'Seoul', 'state': 'Seoul'}, '35.216.120.100': {'city': 'Seoul', 'state': 'Seoul'}}
GOOGLE-LLC_AS15169, 35.206.4.0/24, {'35.206.4.50': {'city': None, 'state': None}, '35.206.4.150': {'city': None, 'state': None}}
GOOGLE-LLC_AS15169, 142.250.148.0/24, {'142.250.148.50': {'city': None, 'state': None}, '142.250.148.150': {'city': None, 'state': None}}
GOOGLE-LLC_AS15169, 142.250.138.0/24, {'142.250.138.50': {'city': None, 'state': None}, '142.250.138.150': {'city': None, 'state': None}}
GOOGLE-LLC_AS15169, 35.216.128.0/17, {'35.216.128.100': {'city': 'Zurich', 'state': 'Zurich'}, '35.216.188.100': {'city': 'Zurich', 'state': 'Zurich'}, '35.216.248.100': {'city': 'Zurich', 'state': 'Zurich'}}
GOOGLE-LLC_AS15169, 35.217.64.0/18, {'35.217.64.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '35.217.94.100': {'city': 'Salt Lake City', 'state': 'Utah'}, '35.217.124.100': {'city': 'Salt Lake City', 'state': 'Utah'}}
COMCAST_AS7922, 96.102.22.0/24, {'96.102.22.50': {'city': None, 'state': None}, '96.102.22.150': {'city': None, 'state': None}}
COMCAST_AS7922, 96.112.226.0/23, {'96.112.226.100': {'city': None, 'state': None}, '96.112.227.100': {'city': None, 'state': None}}
COMCAST_AS7922, 161.123.160.0/22, {'161.123.160.100': {'city': 'Washington', 'state': 'District of Columbia'}, '161.123.163.100': {'city': 'Washington', 'state': 'District of Columbia'}}
COMCAST_AS7922, 96.103.17.0/24, {'96.103.17.50': {'city': None, 'state': None}, '96.103.17.150': {'city': None, 'state': None}}
COMCAST_AS7922, 161.123.204.0/22, {'161.123.204.100': {'city': 'Washington', 'state': 'District of Columbia'}, '161.123.207.100': {'city': 'New York', 'state': 'New York'}}
COMCAST_AS7922, 161.123.212.0/22, {'161.123.212.100': {'city': 'Washington', 'state': 'District of Columbia'}, '161.123.215.100': {'city': 'Los Angeles', 'state': 'California'}}
COMCAST_AS7922, 96.103.151.0/24, {'96.103.151.50': {'city': None, 'state': None}, '96.103.151.150': {'city': None, 'state': None}}
COMCAST_AS7922, 162.150.24.0/22, {'162.150.24.100': {'city': None, 'state': None}, '162.150.27.100': {'city': None, 'state': None}}
COMCAST_AS7922, 184.126.0.0/23, {'184.126.0.100': {'city': None, 'state': None}, '184.126.1.100': {'city': None, 'state': None}}
COMCAST_AS7922, 96.103.87.0/24, {'96.103.87.50': {'city': None, 'state': None}, '96.103.87.150': {'city': None, 'state': None}}
