ISP_ASN, prefix, {geolocation}
COMCAST_AS7922, 96.96.18.0/23, {'96.96.18.100': {'city': 'Denver', 'state': 'Colorado'}, '96.96.19.100': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.115.128.0/21, {'96.115.128.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.115.131.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.115.134.100': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 96.108.54.0/23, {'96.108.54.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.108.55.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.98.0/23, {'96.113.98.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.113.99.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 76.96.231.0/24, {'76.96.231.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '76.96.231.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 68.87.112.0/21, {'68.87.112.100': {'city': 'Portland', 'state': 'Oregon'}, '68.87.115.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '68.87.118.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 162.151.226.0/23, {'162.151.226.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '162.151.227.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 69.241.53.0/24, {'69.241.53.50': {'city': 'Denver', 'state': 'Colorado'}, '69.241.53.150': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.118.32.0/19, {'96.118.32.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.118.47.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.118.62.100': {'city': 'Washington', 'state': 'Virginia'}}
COMCAST_AS7922, 96.108.168.0/23, {'96.108.168.100': {'city': 'Gainesville', 'state': 'Florida'}, '96.108.169.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.117.64.0/19, {'96.117.64.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.117.79.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.117.94.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 69.139.139.0/24, {'69.139.139.50': {'city': 'Northlake', 'state': 'Illinois'}, '69.139.139.150': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.116.96.0/19, {'96.116.96.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.116.111.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.116.126.100': {'city': 'Atlantic City', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.113.97.0/24, {'96.113.97.50': {'city': 'Ashburn', 'state': 'Virginia'}, '96.113.97.150': {'city': 'Ashburn', 'state': 'Virginia'}}
COMCAST_AS7922, 162.151.231.0/24, {'162.151.231.50': {'city': 'Denver', 'state': 'Colorado'}, '162.151.231.150': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.108.189.0/24, {'96.108.189.50': {'city': 'Northlake', 'state': 'Illinois'}, '96.108.189.150': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.108.72.0/22, {'96.108.72.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.108.75.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 162.150.48.0/20, {'162.150.48.100': {'city': 'Northlake', 'state': 'Illinois'}, '162.150.54.100': {'city': 'Northlake', 'state': 'Illinois'}, '162.150.60.100': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.113.132.0/23, {'96.113.132.100': {'city': 'Denver', 'state': 'Colorado'}, '96.113.133.100': {'city': 'Denver', 'state': 'Colorado'}}
COMCAST_AS7922, 96.118.224.0/19, {'96.118.224.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.118.239.100': {'city': 'Hillsboro', 'state': 'Oregon'}, '96.118.254.100': {'city': 'Hillsboro', 'state': 'Oregon'}}
COMCAST_AS7922, 68.87.20.0/22, {'68.87.20.100': {'city': 'Northlake', 'state': 'Illinois'}, '68.87.23.100': {'city': 'Philadelphia', 'state': 'Pennsylvania'}}
COMCAST_AS7922, 96.110.128.0/22, {'96.110.128.100': {'city': 'Atlantic City', 'state': 'New Jersey'}, '96.110.131.100': {'city': 'Atlantic City', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.112.72.0/21, {'96.112.72.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.112.75.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.112.78.100': {'city': 'Chicago', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.240.0/22, {'96.114.240.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.114.243.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.114.111.0/24, {'96.114.111.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '96.114.111.150': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 162.151.240.0/24, {'162.151.240.50': {'city': 'Mount Laurel', 'state': 'New Jersey'}, '162.151.240.150': {'city': 'Northlake', 'state': 'Illinois'}}
COMCAST_AS7922, 96.114.212.0/23, {'96.114.212.100': {'city': 'Ashburn', 'state': 'Virginia'}, '96.114.213.100': {'city': 'Mount Laurel', 'state': 'New Jersey'}}
COMCAST_AS7922, 96.99.180.0/22, {'96.99.180.100': {'city': 'Seattle', 'state': 'Washington'}, '96.99.183.100': {'city': 'Seattle', 'state': 'Washington'}}
COMCAST_AS7922, 96.114.120.0/21, {'96.114.120.100': {'city': 'Northlake', 'state': 'Illinois'}, '96.114.123.100': {'city': 'Chicago', 'state': 'Illinois'}, '96.114.126.100': {'city': 'Northlake', 'state': 'Illinois'}}
